cell_id,species,n_obs,is_present
1723,Myotis yumanensis,0,0
1724,Aeorestes cinereus,0,0
1724,Myotis californicus,0,0
1724,Myotis yumanensis,0,0
1725,Aeorestes cinereus,0,0
1725,Myotis californicus,0,0
1725,Myotis yumanensis,0,0
1726,Aeorestes cinereus,0,0
1726,Myotis californicus,0,0
1726,Myotis yumanensis,0,0
1727,Aeorestes cinereus,0,0
1727,Myotis californicus,0,0
1727,Myotis yumanensis,0,0
1728,Aeorestes cinereus,0,0
1728,Myotis californicus,0,0
1728,Myotis yumanensis,0,0
1729,Aeorestes cinereus,0,0
1729,Myotis californicus,0,0
1729,Myotis yumanensis,0,0
1730,Aeorestes cinereus,1,1
1730,Myotis californicus,0,0
1730,Myotis yumanensis,0,0
1731,Aeorestes cinereus,0,0
1731,Myotis californicus,0,0
1731,Myotis yumanensis,0,0
1732,Aeorestes cinereus,0,0
1732,Myotis californicus,0,0
1732,Myotis yumanensis,0,0
1733,Aeorestes cinereus,0,0
1733,Myotis californicus,0,0
1733,Myotis yumanensis,0,0
1734,Aeorestes cinereus,0,0
1734,Myotis californicus,0,0
1734,Myotis yumanensis,0,0
1741,Aeorestes cinereus,0,0
1741,Myotis californicus,0,0
1741,Myotis yumanensis,0,0
1742,Aeorestes cinereus,0,0
1742,Myotis californicus,0,0
1742,Myotis yumanensis,0,0
1743,Aeorestes cinereus,0,0
1743,Myotis californicus,0,0
1743,Myotis yumanensis,0,0
1744,Aeorestes cinereus,0,0
1744,Myotis californicus,0,0
1744,Myotis yumanensis,0,0
1745,Aeorestes cinereus,0,0
1745,Myotis californicus,0,0
1745,Myotis yumanensis,0,0
1746,Aeorestes cinereus,1,1
1746,Myotis californicus,0,0
1746,Myotis yumanensis,0,0
1791,Aeorestes cinereus,1,1
1791,Myotis californicus,0,0
1791,Myotis yumanensis,0,0
1792,Aeorestes cinereus,1,1
1792,Myotis californicus,0,0
1792,Myotis yumanensis,0,0
